product_id,sku,product_name,description,category_id,brand_id,supplier_id,price,cost,weight_kg,is_active,created_at,updated_at
1,SKU-000001,Ultra Set 1,Descripción detallada del producto 1,10,15,5,460.98,221.27,6.2,true,2023-11-14,2025-09-18
2,SKU-000002,Elite Device 2,Descripción detallada del producto 2,4,12,8,299.15,128.63,7.9,true,2022-03-06,2024-02-23
3,SKU-000003,Mega Item 3,Descripción detallada del producto 3,9,6,3,423,211.5,30.7,true,2023-02-13,2024-11-16
4,SKU-000004,Max Gear 4,Descripción detallada del producto 4,4,1,4,477.38,272.11,12.6,true,2023-09-02,2025-07-17
5,SKU-000005,Elite Item 5,Descripción detallada del producto 5,8,1,5,312.88,209.63,35.8,true,2023-04-02,2025-08-19
6,SKU-000006,Super Gear 6,Descripción detallada del producto 6,7,4,1,469.57,281.74,7.6,true,2022-05-24,2024-08-30
7,SKU-000007,Max Gadget 7,Descripción detallada del producto 7,8,9,1,15.3,6.73,25.9,true,2023-08-29,2024-02-04
8,SKU-000008,Premium Device 8,Descripción detallada del producto 8,8,13,7,179.58,80.81,2.7,true,2022-10-24,2024-09-12
9,SKU-000009,Ultra Device 9,Descripción detallada del producto 9,8,1,8,249.5,159.68,14.6,true,2023-06-20,2024-09-23
10,SKU-000010,Premium Set 10,Descripción detallada del producto 10,2,2,2,353.96,212.38,42.8,true,2023-01-23,2024-10-06
11,SKU-000011,Max Gear 11,Descripción detallada del producto 11,10,15,7,136.77,91.64,2.8,true,2022-10-04,2024-04-08
12,SKU-000012,Smart Item 12,Descripción detallada del producto 12,7,12,4,123.15,65.27,18.8,true,2023-07-10,2025-07-24
13,SKU-000013,Max Device 13,Descripción detallada del producto 13,2,13,5,186.92,115.89,19.6,true,2022-08-28,2025-10-01
14,SKU-000014,Mini Device 14,Descripción detallada del producto 14,7,15,4,103.82,63.33,45.6,true,2022-12-23,2024-05-04
15,SKU-000015,Basic Set 15,Descripción detallada del producto 15,4,4,4,289.6,139.01,32,true,2022-09-10,2024-01-26
16,SKU-000016,Max Widget 16,Descripción detallada del producto 16,3,4,1,61.32,29.43,5.7,true,2022-09-23,2025-10-19
17,SKU-000017,Mini Kit 17,Descripción detallada del producto 17,4,11,2,477.99,253.33,35.4,true,2023-10-29,2025-09-25
18,SKU-000018,Super Gear 18,Descripción detallada del producto 18,9,6,7,498.42,294.07,10.3,true,2023-09-25,2025-10-10
19,SKU-000019,Basic Kit 19,Descripción detallada del producto 19,9,5,5,192.13,117.2,16.7,true,2022-01-29,2025-09-01
20,SKU-000020,Mega Item 20,Descripción detallada del producto 20,7,11,6,323.14,145.41,11.4,false,2023-12-08,2024-05-27
21,SKU-000021,Max Device 21,Descripción detallada del producto 21,10,1,3,42.41,19.93,3,false,2022-11-03,2025-11-12
22,SKU-000022,Ultra Device 22,Descripción detallada del producto 22,3,10,7,121.79,84.04,11.8,true,2022-12-11,2025-02-17
23,SKU-000023,Smart Set 23,Descripción detallada del producto 23,9,10,7,60.56,29.67,48,true,2023-01-14,2025-03-29
24,SKU-000024,Pro Device 24,Descripción detallada del producto 24,3,11,5,429.47,219.03,27.1,true,2022-07-02,2024-09-21
25,SKU-000025,Smart Pack 25,Descripción detallada del producto 25,4,7,8,13.82,5.67,27.2,true,2022-11-17,2024-03-07
26,SKU-000026,Elite Gear 26,Descripción detallada del producto 26,4,4,5,470.46,216.41,16.7,true,2023-02-09,2025-04-19
27,SKU-000027,Mega Gear 27,Descripción detallada del producto 27,8,7,7,138.5,80.33,37.1,true,2022-04-17,2024-12-09
28,SKU-000028,Max Kit 28,Descripción detallada del producto 28,1,3,2,29.83,19.99,12.3,true,2023-10-24,2024-07-15
29,SKU-000029,Mini Device 29,Descripción detallada del producto 29,1,11,7,98.72,54.3,14.8,true,2022-11-05,2024-02-16
30,SKU-000030,Premium Set 30,Descripción detallada del producto 30,4,15,1,124.74,49.9,38.1,true,2022-05-19,2025-10-26
31,SKU-000031,Smart Gear 31,Descripción detallada del producto 31,3,8,7,64.29,33.43,24.5,true,2022-12-16,2025-04-23
32,SKU-000032,Basic Pack 32,Descripción detallada del producto 32,4,1,4,479.13,263.52,45.8,true,2023-10-09,2024-06-19
33,SKU-000033,Max Kit 33,Descripción detallada del producto 33,7,12,5,84.83,52.59,3,true,2022-05-15,2024-01-23
34,SKU-000034,Premium Item 34,Descripción detallada del producto 34,8,1,2,471.06,292.06,44.7,true,2023-03-14,2024-07-06
35,SKU-000035,Max Gadget 35,Descripción detallada del producto 35,4,5,8,19.51,8.78,17.5,true,2022-12-25,2024-01-01
36,SKU-000036,Smart Kit 36,Descripción detallada del producto 36,2,4,6,34,19.72,13.7,true,2022-02-17,2025-02-11
37,SKU-000037,Mini Item 37,Descripción detallada del producto 37,3,3,4,209.08,119.18,20.3,true,2023-12-05,2025-05-13
38,SKU-000038,Ultra Gadget 38,Descripción detallada del producto 38,2,7,6,312.43,149.97,27.2,true,2022-11-06,2024-03-24
39,SKU-000039,Pro Item 39,Descripción detallada del producto 39,8,14,3,169.26,96.48,37.8,false,2022-11-19,2024-10-20
40,SKU-000040,Super Pack 40,Descripción detallada del producto 40,4,5,8,235.21,98.79,26.1,true,2022-03-18,2025-04-26
41,SKU-000041,Super Item 41,Descripción detallada del producto 41,4,11,4,224.8,141.62,39.8,true,2022-03-11,2024-05-15
42,SKU-000042,Pro Widget 42,Descripción detallada del producto 42,10,14,2,23.8,14.28,28.2,true,2023-11-09,2025-07-21
43,SKU-000043,Smart Gear 43,Descripción detallada del producto 43,2,15,6,495.15,207.96,26.6,true,2022-04-04,2024-02-05
44,SKU-000044,Max Pack 44,Descripción detallada del producto 44,7,9,4,192.08,92.2,29.6,true,2023-06-15,2025-10-31
45,SKU-000045,Basic Gadget 45,Descripción detallada del producto 45,1,4,5,357.39,175.12,28.1,true,2022-05-31,2025-08-21
46,SKU-000046,Ultra Set 46,Descripción detallada del producto 46,6,8,6,447.49,250.59,36,true,2023-03-04,2024-06-28
47,SKU-000047,Mini Product 47,Descripción detallada del producto 47,10,7,2,209.61,100.61,27.4,true,2022-02-25,2024-09-05
48,SKU-000048,Ultra Widget 48,Descripción detallada del producto 48,7,14,5,390.14,237.99,41.1,true,2022-11-28,2024-12-21
49,SKU-000049,Smart Pack 49,Descripción detallada del producto 49,4,8,5,444.51,293.38,6.1,true,2022-03-04,2025-04-18
50,SKU-000050,Premium Pack 50,Descripción detallada del producto 50,1,10,7,329.39,207.52,15.7,true,2022-02-24,2025-09-22
51,SKU-000051,Premium Widget 51,Descripción detallada del producto 51,7,12,6,292.87,164.01,12.8,true,2022-12-15,2025-02-14
52,SKU-000052,Mega Item 52,Descripción detallada del producto 52,3,9,6,433.84,268.98,48.8,true,2023-09-20,2024-12-07
53,SKU-000053,Pro Item 53,Descripción detallada del producto 53,3,9,2,330.3,148.64,39,true,2023-01-09,2025-11-21
54,SKU-000054,Super Tool 54,Descripción detallada del producto 54,5,10,6,332.25,136.22,5.3,true,2022-08-19,2024-07-08
55,SKU-000055,Smart Gadget 55,Descripción detallada del producto 55,1,6,2,238.23,121.5,33.1,false,2022-09-28,2025-08-17
56,SKU-000056,Mega Widget 56,Descripción detallada del producto 56,10,9,3,263.28,134.27,35.6,true,2023-08-10,2024-11-11
57,SKU-000057,Basic Pack 57,Descripción detallada del producto 57,10,15,8,97.78,61.6,12.3,false,2022-08-22,2024-04-15
58,SKU-000058,Max Kit 58,Descripción detallada del producto 58,1,12,1,138.32,94.06,27.5,false,2023-01-14,2025-07-31
59,SKU-000059,Elite Kit 59,Descripción detallada del producto 59,5,5,2,347.37,215.37,18.3,true,2022-07-11,2024-02-21
60,SKU-000060,Elite Set 60,Descripción detallada del producto 60,1,4,1,411.46,263.33,4.4,true,2022-05-30,2024-07-29
61,SKU-000061,Smart Tool 61,Descripción detallada del producto 61,9,10,8,367.34,161.63,38.3,true,2022-01-14,2024-05-07
62,SKU-000062,Max Set 62,Descripción detallada del producto 62,8,8,6,295.89,153.86,41.9,true,2022-01-22,2024-10-17
63,SKU-000063,Premium Item 63,Descripción detallada del producto 63,7,2,5,88.67,42.56,14.2,true,2022-02-08,2024-05-01
64,SKU-000064,Smart Widget 64,Descripción detallada del producto 64,1,15,3,70.2,35.1,44.3,true,2023-12-14,2024-11-11
65,SKU-000065,Mega Device 65,Descripción detallada del producto 65,9,5,5,442.23,300.72,33.8,true,2022-04-30,2025-04-18
66,SKU-000066,Ultra Kit 66,Descripción detallada del producto 66,1,2,8,55.22,32.58,16.8,true,2022-06-29,2025-02-19
67,SKU-000067,Basic Gear 67,Descripción detallada del producto 67,3,2,1,26.32,10.53,6.5,true,2023-10-27,2024-04-23
68,SKU-000068,Pro Product 68,Descripción detallada del producto 68,9,2,5,309.64,154.82,5.2,true,2022-08-11,2024-10-02
69,SKU-000069,Super Product 69,Descripción detallada del producto 69,2,15,1,329.28,217.32,36.1,true,2023-08-09,2024-06-02
70,SKU-000070,Smart Gear 70,Descripción detallada del producto 70,10,15,2,364.81,215.24,29.7,false,2022-05-31,2025-06-08
71,SKU-000071,Ultra Widget 71,Descripción detallada del producto 71,9,6,5,153.16,99.55,27.8,true,2023-03-04,2024-11-22
72,SKU-000072,Premium Gadget 72,Descripción detallada del producto 72,10,10,8,333.5,133.4,7.3,true,2022-12-20,2024-08-10
73,SKU-000073,Smart Gadget 73,Descripción detallada del producto 73,8,11,2,230.84,143.12,34.4,true,2022-10-25,2024-09-25
74,SKU-000074,Max Set 74,Descripción detallada del producto 74,9,10,7,232.68,120.99,2.2,false,2023-02-18,2024-05-23
75,SKU-000075,Premium Gadget 75,Descripción detallada del producto 75,3,14,2,148.85,104.2,1,true,2023-03-07,2024-12-19
76,SKU-000076,Smart Gear 76,Descripción detallada del producto 76,1,8,3,288.71,127.03,19.3,true,2022-12-05,2024-07-07
77,SKU-000077,Mega Product 77,Descripción detallada del producto 77,1,14,5,180.92,108.55,43.4,true,2023-01-16,2024-01-13
78,SKU-000078,Max Device 78,Descripción detallada del producto 78,3,5,4,406.85,244.11,19,false,2023-01-05,2025-01-04
79,SKU-000079,Max Kit 79,Descripción detallada del producto 79,5,13,8,64.72,42.07,11.8,true,2022-02-04,2024-02-22
80,SKU-000080,Max Kit 80,Descripción detallada del producto 80,10,7,7,197.97,138.58,40,true,2022-01-26,2025-09-01
81,SKU-000081,Pro Item 81,Descripción detallada del producto 81,4,7,3,27.21,17.14,1.3,true,2023-04-27,2024-02-12
82,SKU-000082,Basic Pack 82,Descripción detallada del producto 82,10,1,2,478.49,244.03,27.8,true,2022-07-21,2025-10-24
83,SKU-000083,Max Widget 83,Descripción detallada del producto 83,7,15,6,470.3,277.48,25.4,true,2023-09-08,2024-10-09
84,SKU-000084,Super Tool 84,Descripción detallada del producto 84,8,10,2,143.26,81.66,45.2,true,2023-02-24,2024-11-07
85,SKU-000085,Pro Set 85,Descripción detallada del producto 85,7,9,1,358.31,214.99,35.5,true,2023-11-04,2024-10-27
86,SKU-000086,Max Gear 86,Descripción detallada del producto 86,1,11,8,316.54,205.75,14.7,true,2023-04-16,2024-03-11
87,SKU-000087,Mega Device 87,Descripción detallada del producto 87,8,5,3,102.3,71.61,44.6,true,2022-04-04,2024-11-05
88,SKU-000088,Basic Widget 88,Descripción detallada del producto 88,8,9,7,405.98,280.13,11.1,true,2022-05-22,2025-03-13
89,SKU-000089,Premium Gadget 89,Descripción detallada del producto 89,4,13,8,216.89,93.26,46.8,true,2022-03-21,2024-03-13
90,SKU-000090,Elite Gadget 90,Descripción detallada del producto 90,4,8,5,446.12,205.22,10.7,true,2022-05-30,2025-04-24
91,SKU-000091,Mini Item 91,Descripción detallada del producto 91,5,12,7,325.06,172.28,23.8,true,2023-02-02,2024-09-30
92,SKU-000092,Max Gear 92,Descripción detallada del producto 92,5,1,6,394.27,260.22,24.7,true,2023-08-07,2025-06-01
93,SKU-000093,Mega Set 93,Descripción detallada del producto 93,6,3,4,236.24,108.67,3.4,true,2023-02-23,2025-09-01
94,SKU-000094,Premium Gadget 94,Descripción detallada del producto 94,2,10,3,377.94,158.73,38.6,true,2022-09-28,2024-05-25
95,SKU-000095,Premium Pack 95,Descripción detallada del producto 95,10,12,8,186.71,108.29,9,true,2022-09-27,2024-09-13
96,SKU-000096,Ultra Product 96,Descripción detallada del producto 96,9,5,3,375.12,232.57,26.9,true,2023-08-31,2025-08-15
97,SKU-000097,Basic Device 97,Descripción detallada del producto 97,2,12,2,325.55,146.5,30.1,true,2022-06-28,2024-02-19
98,SKU-000098,Elite Item 98,Descripción detallada del producto 98,2,5,3,140.26,61.71,4.5,true,2022-01-15,2024-01-12
99,SKU-000099,Ultra Tool 99,Descripción detallada del producto 99,7,4,4,92.17,40.55,6.1,true,2023-04-30,2025-01-13
100,SKU-000100,Mini Kit 100,Descripción detallada del producto 100,10,13,1,113.4,62.37,14.1,true,2023-03-03,2025-07-19