review_id,product_id,customer_id,rating,title,comment,is_verified_purchase,helpful_votes,created_at
1,11,159,3,Cumple expectativas,Comentario del cliente sobre el producto...,false,45,2024-03-15
2,46,33,4,Cumple expectativas,Comentario del cliente sobre el producto...,false,7,2024-07-20
3,9,72,5,No lo recomiendo,Comentario del cliente sobre el producto...,true,24,2025-04-26
4,16,99,4,Muy bueno,Comentario del cliente sobre el producto...,true,28,2025-06-18
5,23,78,4,Cumple expectativas,Comentario del cliente sobre el producto...,true,13,2025-11-27
6,71,11,3,No lo recomiendo,Comentario del cliente sobre el producto...,true,24,2023-09-20
7,39,142,5,Regular,Comentario del cliente sobre el producto...,false,50,2025-06-21
8,67,162,1,No lo recomiendo,Comentario del cliente sobre el producto...,true,28,2023-02-25
9,57,124,1,Excelente producto,Comentario del cliente sobre el producto...,true,25,2024-10-26
10,88,15,2,No lo recomiendo,Comentario del cliente sobre el producto...,true,3,2023-05-11
11,65,150,3,Cumple expectativas,Comentario del cliente sobre el producto...,true,9,2023-04-29
12,5,87,2,Cumple expectativas,Comentario del cliente sobre el producto...,true,26,2023-08-20
13,27,11,2,Regular,Comentario del cliente sobre el producto...,false,24,2025-05-26
14,30,83,1,Excelente producto,Comentario del cliente sobre el producto...,true,17,2025-03-11
15,47,57,2,No lo recomiendo,Comentario del cliente sobre el producto...,true,43,2023-11-04
16,24,38,5,Muy bueno,Comentario del cliente sobre el producto...,true,43,2024-04-26
17,52,47,3,Excelente producto,Comentario del cliente sobre el producto...,true,16,2025-11-03
18,38,38,2,Regular,Comentario del cliente sobre el producto...,false,6,2025-11-03
19,49,136,3,Regular,Comentario del cliente sobre el producto...,true,0,2024-06-21
20,2,56,5,No lo recomiendo,Comentario del cliente sobre el producto...,true,14,2023-11-07
21,67,90,3,Excelente producto,Comentario del cliente sobre el producto...,false,17,2023-12-09
22,31,38,4,Regular,Comentario del cliente sobre el producto...,true,47,2023-02-04
23,46,37,2,Muy bueno,Comentario del cliente sobre el producto...,true,30,2024-03-28
24,43,4,1,Regular,Comentario del cliente sobre el producto...,true,14,2024-06-03
25,26,91,4,Excelente producto,Comentario del cliente sobre el producto...,false,10,2023-01-31
26,53,92,5,Muy bueno,Comentario del cliente sobre el producto...,true,3,2024-05-12
27,66,104,2,Regular,Comentario del cliente sobre el producto...,false,6,2025-11-08
28,87,141,1,Muy bueno,Comentario del cliente sobre el producto...,true,20,2025-11-12
29,81,121,4,Regular,Comentario del cliente sobre el producto...,true,23,2024-10-18
30,69,93,4,Cumple expectativas,Comentario del cliente sobre el producto...,false,41,2024-03-25
31,23,117,5,No lo recomiendo,Comentario del cliente sobre el producto...,true,37,2024-07-31
32,56,61,4,No lo recomiendo,Comentario del cliente sobre el producto...,true,47,2025-03-01
33,42,144,5,Cumple expectativas,Comentario del cliente sobre el producto...,false,1,2023-08-08
34,2,58,5,Regular,Comentario del cliente sobre el producto...,false,50,2025-11-11
35,29,52,1,Muy bueno,Comentario del cliente sobre el producto...,false,18,2025-04-25
36,96,124,1,Excelente producto,Comentario del cliente sobre el producto...,false,11,2023-02-23
37,91,153,3,Regular,Comentario del cliente sobre el producto...,false,39,2024-01-13
38,40,49,3,Excelente producto,Comentario del cliente sobre el producto...,false,23,2023-01-04
39,37,37,4,Muy bueno,Comentario del cliente sobre el producto...,true,23,2023-02-03
40,78,40,1,No lo recomiendo,Comentario del cliente sobre el producto...,true,40,2024-12-30
41,56,142,2,Cumple expectativas,Comentario del cliente sobre el producto...,true,15,2023-06-22
42,66,142,4,Excelente producto,Comentario del cliente sobre el producto...,true,49,2025-10-21
43,70,110,1,Muy bueno,Comentario del cliente sobre el producto...,false,20,2023-01-03
44,32,148,3,Cumple expectativas,Comentario del cliente sobre el producto...,true,0,2023-05-20
45,36,59,3,Regular,Comentario del cliente sobre el producto...,true,39,2023-10-02
46,91,55,5,Muy bueno,Comentario del cliente sobre el producto...,false,14,2025-11-18
47,50,165,5,Regular,Comentario del cliente sobre el producto...,false,31,2025-08-06
48,39,49,4,Cumple expectativas,Comentario del cliente sobre el producto...,false,20,2023-06-03
49,24,89,1,No lo recomiendo,Comentario del cliente sobre el producto...,false,30,2024-04-01
50,10,126,4,Excelente producto,Comentario del cliente sobre el producto...,true,8,2024-07-04
51,39,159,3,Muy bueno,Comentario del cliente sobre el producto...,true,8,2023-01-13
52,85,36,4,Muy bueno,Comentario del cliente sobre el producto...,true,4,2024-08-30
53,71,71,1,Regular,Comentario del cliente sobre el producto...,false,48,2024-05-28
54,46,100,3,Cumple expectativas,Comentario del cliente sobre el producto...,true,39,2025-02-28
55,61,111,5,Regular,Comentario del cliente sobre el producto...,true,29,2023-12-08
56,73,95,4,No lo recomiendo,Comentario del cliente sobre el producto...,true,32,2025-05-27
57,90,127,5,No lo recomiendo,Comentario del cliente sobre el producto...,true,24,2024-03-21
58,74,28,1,Regular,Comentario del cliente sobre el producto...,false,49,2025-06-25
59,63,40,5,Regular,Comentario del cliente sobre el producto...,true,13,2025-06-03
60,6,119,3,Muy bueno,Comentario del cliente sobre el producto...,true,30,2024-02-28
61,36,165,2,Cumple expectativas,Comentario del cliente sobre el producto...,false,22,2023-05-07
62,88,14,5,Cumple expectativas,Comentario del cliente sobre el producto...,true,40,2025-11-23
63,28,23,2,Cumple expectativas,Comentario del cliente sobre el producto...,true,37,2025-01-09
64,51,61,5,Muy bueno,Comentario del cliente sobre el producto...,false,41,2025-01-19
65,11,91,3,Excelente producto,Comentario del cliente sobre el producto...,false,6,2024-04-20
66,37,69,3,Cumple expectativas,Comentario del cliente sobre el producto...,true,16,2025-08-03
67,26,143,4,No lo recomiendo,Comentario del cliente sobre el producto...,true,7,2025-11-25
68,11,140,2,Excelente producto,Comentario del cliente sobre el producto...,false,16,2024-07-25
69,86,32,4,Muy bueno,Comentario del cliente sobre el producto...,true,34,2025-11-18
70,53,116,1,Regular,Comentario del cliente sobre el producto...,true,42,2024-03-06
71,7,99,4,No lo recomiendo,Comentario del cliente sobre el producto...,false,11,2024-05-19
72,8,86,2,Muy bueno,Comentario del cliente sobre el producto...,false,2,2024-10-10
73,27,106,1,Muy bueno,Comentario del cliente sobre el producto...,true,38,2023-09-14
74,53,72,5,Muy bueno,Comentario del cliente sobre el producto...,true,35,2024-08-04
75,100,110,4,Cumple expectativas,Comentario del cliente sobre el producto...,true,3,2025-08-28
76,38,2,3,Cumple expectativas,Comentario del cliente sobre el producto...,false,18,2024-07-16
77,32,117,3,Excelente producto,Comentario del cliente sobre el producto...,false,10,2024-08-03
78,69,81,1,No lo recomiendo,Comentario del cliente sobre el producto...,true,31,2023-11-08
79,6,127,2,Cumple expectativas,Comentario del cliente sobre el producto...,true,14,2023-06-05
80,64,66,2,Cumple expectativas,Comentario del cliente sobre el producto...,false,4,2024-09-18
81,97,30,5,Excelente producto,Comentario del cliente sobre el producto...,true,49,2024-03-09
82,3,164,2,Excelente producto,Comentario del cliente sobre el producto...,true,7,2024-12-03
83,47,38,1,Muy bueno,Comentario del cliente sobre el producto...,true,40,2025-07-12
84,47,141,5,Cumple expectativas,Comentario del cliente sobre el producto...,true,23,2023-11-19
85,74,64,3,Cumple expectativas,Comentario del cliente sobre el producto...,true,4,2023-10-30
86,39,23,3,Cumple expectativas,Comentario del cliente sobre el producto...,false,3,2024-01-04
87,20,101,2,Excelente producto,Comentario del cliente sobre el producto...,true,36,2024-04-13
88,58,71,2,No lo recomiendo,Comentario del cliente sobre el producto...,true,24,2023-12-16
89,73,103,2,Muy bueno,Comentario del cliente sobre el producto...,false,20,2025-08-22
90,84,41,2,Muy bueno,Comentario del cliente sobre el producto...,false,22,2024-04-09
91,22,92,5,No lo recomiendo,Comentario del cliente sobre el producto...,false,11,2025-10-12
92,16,154,3,Regular,Comentario del cliente sobre el producto...,true,3,2023-07-01
93,6,148,4,No lo recomiendo,Comentario del cliente sobre el producto...,true,34,2024-07-20
94,55,26,1,Regular,Comentario del cliente sobre el producto...,true,34,2023-08-14
95,84,87,2,No lo recomiendo,Comentario del cliente sobre el producto...,false,11,2023-02-19
96,100,101,5,Cumple expectativas,Comentario del cliente sobre el producto...,true,17,2023-12-07
97,33,5,2,Excelente producto,Comentario del cliente sobre el producto...,true,10,2023-02-06
98,91,120,3,Regular,Comentario del cliente sobre el producto...,true,15,2023-01-15
99,47,116,1,Regular,Comentario del cliente sobre el producto...,true,16,2025-09-10
100,72,103,5,Muy bueno,Comentario del cliente sobre el producto...,true,29,2023-09-26
101,90,71,4,Excelente producto,Comentario del cliente sobre el producto...,true,28,2024-12-31
102,98,15,5,Regular,Comentario del cliente sobre el producto...,false,36,2023-11-26
103,52,36,1,Muy bueno,Comentario del cliente sobre el producto...,true,0,2024-06-22
104,89,160,5,Muy bueno,Comentario del cliente sobre el producto...,true,1,2024-03-07
105,78,114,5,No lo recomiendo,Comentario del cliente sobre el producto...,true,38,2025-11-26
106,46,17,1,Muy bueno,Comentario del cliente sobre el producto...,true,18,2024-10-12
107,66,43,2,Muy bueno,Comentario del cliente sobre el producto...,true,28,2023-07-22
108,65,126,4,No lo recomiendo,Comentario del cliente sobre el producto...,true,0,2023-10-06
109,8,132,4,Excelente producto,Comentario del cliente sobre el producto...,true,40,2025-06-13
110,49,75,4,Muy bueno,Comentario del cliente sobre el producto...,true,20,2024-10-22
111,6,86,2,Regular,Comentario del cliente sobre el producto...,true,34,2025-01-31
112,70,162,4,No lo recomiendo,Comentario del cliente sobre el producto...,false,3,2023-10-27
113,100,83,3,Muy bueno,Comentario del cliente sobre el producto...,true,45,2024-10-27
114,86,136,1,Cumple expectativas,Comentario del cliente sobre el producto...,true,38,2024-08-31
115,39,160,1,Regular,Comentario del cliente sobre el producto...,true,1,2024-11-03
116,58,147,5,Excelente producto,Comentario del cliente sobre el producto...,true,13,2025-08-30
117,80,75,3,Cumple expectativas,Comentario del cliente sobre el producto...,true,31,2024-08-06
118,66,13,5,Cumple expectativas,Comentario del cliente sobre el producto...,true,47,2025-05-19
119,30,115,5,No lo recomiendo,Comentario del cliente sobre el producto...,false,41,2023-12-27
120,63,156,2,No lo recomiendo,Comentario del cliente sobre el producto...,true,13,2025-02-09
121,50,33,1,Muy bueno,Comentario del cliente sobre el producto...,true,19,2023-03-13
122,33,166,4,Excelente producto,Comentario del cliente sobre el producto...,false,42,2024-09-02
123,26,47,2,Cumple expectativas,Comentario del cliente sobre el producto...,true,43,2024-11-28
124,33,116,4,No lo recomiendo,Comentario del cliente sobre el producto...,true,42,2023-09-10
125,13,152,3,Cumple expectativas,Comentario del cliente sobre el producto...,true,35,2023-05-09
126,30,78,3,Excelente producto,Comentario del cliente sobre el producto...,true,5,2023-09-27
127,89,48,3,Cumple expectativas,Comentario del cliente sobre el producto...,true,50,2025-04-18
128,85,136,3,Excelente producto,Comentario del cliente sobre el producto...,false,44,2023-02-23
129,85,102,3,Excelente producto,Comentario del cliente sobre el producto...,true,37,2024-12-20
130,42,25,5,Cumple expectativas,Comentario del cliente sobre el producto...,true,12,2024-08-17
131,60,146,5,Muy bueno,Comentario del cliente sobre el producto...,false,20,2023-08-10
132,55,76,5,Muy bueno,Comentario del cliente sobre el producto...,true,20,2023-05-10
133,28,133,3,No lo recomiendo,Comentario del cliente sobre el producto...,true,47,2025-07-18
134,27,132,1,Regular,Comentario del cliente sobre el producto...,true,14,2023-01-08
135,6,115,2,Cumple expectativas,Comentario del cliente sobre el producto...,true,45,2025-03-14
136,90,84,3,No lo recomiendo,Comentario del cliente sobre el producto...,false,40,2025-09-16
137,15,81,4,No lo recomiendo,Comentario del cliente sobre el producto...,true,36,2023-04-26
138,77,17,5,Muy bueno,Comentario del cliente sobre el producto...,true,41,2025-02-18
139,83,139,5,No lo recomiendo,Comentario del cliente sobre el producto...,false,13,2024-06-24
140,50,165,4,Regular,Comentario del cliente sobre el producto...,true,40,2025-11-18
141,45,30,4,Excelente producto,Comentario del cliente sobre el producto...,false,46,2023-01-10
142,26,93,3,Cumple expectativas,Comentario del cliente sobre el producto...,false,5,2025-02-13
143,68,99,3,Cumple expectativas,Comentario del cliente sobre el producto...,false,8,2024-09-14
144,88,80,1,No lo recomiendo,Comentario del cliente sobre el producto...,true,31,2023-09-28
145,18,83,4,Excelente producto,Comentario del cliente sobre el producto...,false,30,2023-08-21
146,62,156,5,Cumple expectativas,Comentario del cliente sobre el producto...,true,37,2023-08-29
147,24,96,3,Muy bueno,Comentario del cliente sobre el producto...,false,21,2023-05-11
148,78,61,5,No lo recomiendo,Comentario del cliente sobre el producto...,false,47,2025-10-01
149,94,118,5,Excelente producto,Comentario del cliente sobre el producto...,false,8,2023-01-20
150,26,122,3,Cumple expectativas,Comentario del cliente sobre el producto...,false,21,2024-09-18
151,30,19,3,No lo recomiendo,Comentario del cliente sobre el producto...,false,22,2023-10-19
152,2,147,4,Muy bueno,Comentario del cliente sobre el producto...,true,2,2025-06-14
153,89,164,4,No lo recomiendo,Comentario del cliente sobre el producto...,true,15,2024-07-05
154,38,74,5,No lo recomiendo,Comentario del cliente sobre el producto...,false,14,2024-08-22
155,18,14,1,Muy bueno,Comentario del cliente sobre el producto...,true,46,2025-07-19
156,65,83,5,Regular,Comentario del cliente sobre el producto...,true,39,2023-05-15
157,94,103,2,Excelente producto,Comentario del cliente sobre el producto...,false,32,2024-11-10
158,5,9,1,Excelente producto,Comentario del cliente sobre el producto...,true,34,2024-12-16
159,14,40,3,Muy bueno,Comentario del cliente sobre el producto...,true,14,2024-08-28
160,2,117,3,No lo recomiendo,Comentario del cliente sobre el producto...,true,2,2025-01-13
161,41,129,3,Cumple expectativas,Comentario del cliente sobre el producto...,true,28,2023-03-25
162,87,25,4,Muy bueno,Comentario del cliente sobre el producto...,true,31,2024-03-11
163,62,133,5,Regular,Comentario del cliente sobre el producto...,true,22,2023-09-10
164,59,111,4,Muy bueno,Comentario del cliente sobre el producto...,false,46,2025-10-18
165,55,143,2,No lo recomiendo,Comentario del cliente sobre el producto...,false,43,2024-02-17
166,68,146,5,Excelente producto,Comentario del cliente sobre el producto...,true,35,2024-01-15
167,74,162,1,Muy bueno,Comentario del cliente sobre el producto...,true,23,2025-08-14
168,32,35,4,Cumple expectativas,Comentario del cliente sobre el producto...,false,11,2023-12-22
169,57,102,5,Regular,Comentario del cliente sobre el producto...,true,37,2025-11-18
170,76,118,1,Muy bueno,Comentario del cliente sobre el producto...,true,18,2025-01-13
171,37,31,1,Cumple expectativas,Comentario del cliente sobre el producto...,true,32,2023-11-10
172,16,110,2,Muy bueno,Comentario del cliente sobre el producto...,true,33,2023-03-30
173,53,15,4,Muy bueno,Comentario del cliente sobre el producto...,true,20,2023-01-13
174,63,90,4,Regular,Comentario del cliente sobre el producto...,false,43,2024-09-23
175,37,3,2,Excelente producto,Comentario del cliente sobre el producto...,false,26,2024-03-03
176,28,52,2,No lo recomiendo,Comentario del cliente sobre el producto...,true,38,2023-08-07
177,68,134,2,Excelente producto,Comentario del cliente sobre el producto...,true,34,2023-01-21
178,17,78,4,Excelente producto,Comentario del cliente sobre el producto...,false,46,2025-03-04
179,59,99,2,No lo recomiendo,Comentario del cliente sobre el producto...,true,50,2025-07-07
180,62,159,2,Cumple expectativas,Comentario del cliente sobre el producto...,true,1,2025-09-07
181,19,94,2,Excelente producto,Comentario del cliente sobre el producto...,true,21,2024-02-25
182,23,103,5,Muy bueno,Comentario del cliente sobre el producto...,false,1,2024-06-01
183,37,2,2,Cumple expectativas,Comentario del cliente sobre el producto...,true,38,2025-04-22
184,3,144,5,Regular,Comentario del cliente sobre el producto...,false,7,2024-08-10
185,21,80,3,Excelente producto,Comentario del cliente sobre el producto...,true,22,2024-07-15
186,86,37,3,Regular,Comentario del cliente sobre el producto...,false,46,2025-08-30
187,50,141,5,Muy bueno,Comentario del cliente sobre el producto...,true,0,2024-11-16
188,64,18,3,Cumple expectativas,Comentario del cliente sobre el producto...,true,5,2023-04-12
189,65,69,1,Muy bueno,Comentario del cliente sobre el producto...,true,41,2024-04-02
190,33,153,2,Cumple expectativas,Comentario del cliente sobre el producto...,false,35,2025-11-16
191,25,90,1,Regular,Comentario del cliente sobre el producto...,false,28,2024-05-01
192,71,14,1,Muy bueno,Comentario del cliente sobre el producto...,true,14,2023-09-29
193,27,118,5,Cumple expectativas,Comentario del cliente sobre el producto...,true,19,2023-08-13
194,21,67,1,Regular,Comentario del cliente sobre el producto...,true,37,2025-01-21
195,9,121,1,Regular,Comentario del cliente sobre el producto...,true,35,2024-08-07
196,23,2,1,Regular,Comentario del cliente sobre el producto...,true,33,2025-06-28
197,75,81,1,Regular,Comentario del cliente sobre el producto...,true,9,2025-10-03
198,44,106,4,Cumple expectativas,Comentario del cliente sobre el producto...,true,35,2023-11-24
199,36,113,2,Regular,Comentario del cliente sobre el producto...,false,31,2024-11-26
200,93,23,1,Regular,Comentario del cliente sobre el producto...,true,6,2025-08-18